CMDLINE /usr/local/anaconda3/bin/python dfs.py
MEM 36.707031 1583036223.0868
MEM 36.707031 1583036223.1889
MEM 36.707031 1583036223.2929
MEM 36.707031 1583036223.3947
MEM 36.707031 1583036223.4960
MEM 36.707031 1583036223.5987
MEM 36.707031 1583036223.7024
MEM 36.707031 1583036223.8060
MEM 36.707031 1583036223.9095
MEM 36.707031 1583036224.0112
MEM 36.707031 1583036224.1143
MEM 36.707031 1583036224.2145
MEM 36.707031 1583036224.3191
MEM 36.707031 1583036224.4243
MEM 36.707031 1583036224.5290
MEM 36.707031 1583036224.6296
MEM 36.707031 1583036224.7334
MEM 36.707031 1583036224.8361
MEM 36.707031 1583036224.9374
MEM 36.707031 1583036225.0378
MEM 36.707031 1583036225.1382
MEM 36.707031 1583036225.2385
MEM 36.707031 1583036225.3429
MEM 36.707031 1583036225.4431
MEM 36.707031 1583036225.5455
MEM 36.707031 1583036225.6478
MEM 36.707031 1583036225.7487
MEM 36.707031 1583036225.8491
MEM 36.707031 1583036225.9534
MEM 36.707031 1583036226.0578
MEM 36.707031 1583036226.1627
MEM 36.707031 1583036226.2632
MEM 36.707031 1583036226.3656
MEM 36.707031 1583036226.4702
MEM 36.707031 1583036226.5719
MEM 36.707031 1583036226.6763
MEM 36.707031 1583036226.7809
MEM 36.707031 1583036226.8876
MEM 36.707031 1583036226.9908
MEM 36.707031 1583036227.0929
MEM 36.707031 1583036227.1938
MEM 36.707031 1583036227.2964
MEM 36.707031 1583036227.3998
MEM 36.707031 1583036227.5041
MEM 36.707031 1583036227.6046
MEM 36.707031 1583036227.7096
MEM 36.707031 1583036227.8136
MEM 36.707031 1583036227.9179
MEM 36.707031 1583036228.0210
MEM 36.707031 1583036228.1250
MEM 36.707031 1583036228.2300
MEM 36.707031 1583036228.3349
MEM 36.707031 1583036228.4379
MEM 36.707031 1583036228.5431
MEM 36.707031 1583036228.6469
MEM 36.707031 1583036228.7482
MEM 36.707031 1583036228.8520
MEM 36.707031 1583036228.9523
MEM 36.707031 1583036229.0554
MEM 36.707031 1583036229.1557
MEM 36.707031 1583036229.2596
MEM 36.707031 1583036229.3639
MEM 36.707031 1583036229.4656
MEM 36.707031 1583036229.5701
MEM 36.707031 1583036229.6738
MEM 36.707031 1583036229.7770
MEM 36.707031 1583036229.8805
MEM 36.707031 1583036229.9838
MEM 36.707031 1583036230.0887
MEM 36.707031 1583036230.1928
MEM 36.707031 1583036230.2977
MEM 36.707031 1583036230.3992
MEM 36.707031 1583036230.5021
MEM 36.707031 1583036230.6056
MEM 36.707031 1583036230.7097
MEM 36.707031 1583036230.8100
MEM 36.707031 1583036230.9106
MEM 36.707031 1583036231.0148
MEM 36.707031 1583036231.1187
MEM 36.707031 1583036231.2239
MEM 36.707031 1583036231.3263
MEM 36.707031 1583036231.4265
MEM 36.707031 1583036231.5316
MEM 36.707031 1583036231.6357
MEM 36.707031 1583036231.7361
MEM 36.707031 1583036231.8396
MEM 36.707031 1583036231.9431
MEM 36.707031 1583036232.0436
MEM 36.707031 1583036232.1461
MEM 36.707031 1583036232.2486
MEM 36.707031 1583036232.3490
MEM 36.707031 1583036232.4525
MEM 36.707031 1583036232.5531
MEM 36.707031 1583036232.6534
MEM 36.707031 1583036232.7567
MEM 36.707031 1583036232.8598
MEM 36.707031 1583036232.9644
MEM 36.707031 1583036233.0683
MEM 36.707031 1583036233.1704
MEM 36.707031 1583036233.2739
MEM 36.707031 1583036233.3764
MEM 36.707031 1583036233.4798
MEM 36.707031 1583036233.5840
MEM 36.707031 1583036233.6867
MEM 36.707031 1583036233.7875
MEM 36.707031 1583036233.8914
MEM 36.707031 1583036233.9931
MEM 36.707031 1583036234.0950
MEM 36.707031 1583036234.1996
MEM 36.707031 1583036234.3004
MEM 36.707031 1583036234.4038
MEM 36.707031 1583036234.5076
MEM 36.707031 1583036234.6105
MEM 36.707031 1583036234.7137
MEM 36.707031 1583036234.8165
MEM 36.707031 1583036234.9202
MEM 36.707031 1583036235.0245
MEM 36.707031 1583036235.1287
MEM 36.707031 1583036235.2334
MEM 36.707031 1583036235.3373
MEM 36.707031 1583036235.4426
MEM 36.707031 1583036235.5457
MEM 36.707031 1583036235.6473
MEM 36.707031 1583036235.7505
MEM 36.707031 1583036235.8534
MEM 36.707031 1583036235.9584
MEM 36.707031 1583036236.0631
MEM 36.707031 1583036236.1681
MEM 36.707031 1583036236.2717
MEM 36.707031 1583036236.3752
MEM 36.707031 1583036236.4785
MEM 36.707031 1583036236.5789
MEM 36.707031 1583036236.6840
MEM 36.707031 1583036236.7843
MEM 36.707031 1583036236.8846
MEM 36.707031 1583036236.9859
MEM 36.707031 1583036237.0871
MEM 36.707031 1583036237.1923
MEM 36.707031 1583036237.2952
MEM 36.707031 1583036237.3954
MEM 36.707031 1583036237.4969
MEM 36.707031 1583036237.6010
MEM 36.707031 1583036237.7049
MEM 36.707031 1583036237.8071
MEM 36.707031 1583036237.9073
MEM 36.707031 1583036238.0095
MEM 36.707031 1583036238.1120
MEM 36.707031 1583036238.2124
MEM 36.707031 1583036238.3126
MEM 36.707031 1583036238.4144
MEM 36.707031 1583036238.5146
MEM 36.707031 1583036238.6184
MEM 36.707031 1583036238.7223
MEM 36.707031 1583036238.8259
MEM 36.707031 1583036238.9273
MEM 36.707031 1583036239.0275
MEM 36.707031 1583036239.1305
MEM 36.707031 1583036239.2343
MEM 36.707031 1583036239.3366
MEM 36.707031 1583036239.4377
MEM 36.707031 1583036239.5386
MEM 36.707031 1583036239.6433
MEM 36.707031 1583036239.7485
MEM 36.707031 1583036239.8526
MEM 36.707031 1583036239.9546
MEM 36.707031 1583036240.0550
MEM 36.707031 1583036240.1599
MEM 36.707031 1583036240.2639
MEM 36.707031 1583036240.3672
MEM 36.707031 1583036240.4706
MEM 36.707031 1583036240.5741
MEM 36.707031 1583036240.6775
MEM 36.707031 1583036240.7805
MEM 36.707031 1583036240.8840
MEM 36.707031 1583036240.9859
MEM 36.707031 1583036241.0885
MEM 36.707031 1583036241.1933
MEM 36.707031 1583036241.2946
MEM 36.707031 1583036241.3957
MEM 36.707031 1583036241.4991
MEM 36.707031 1583036241.6034
MEM 36.707031 1583036241.7062
MEM 36.707031 1583036241.8092
MEM 36.707031 1583036241.9125
MEM 36.707031 1583036242.0164
MEM 36.707031 1583036242.1205
MEM 36.707031 1583036242.2245
MEM 36.707031 1583036242.3284
MEM 36.707031 1583036242.4308
MEM 36.707031 1583036242.5342
MEM 36.707031 1583036242.6372
MEM 36.707031 1583036242.7397
MEM 36.707031 1583036242.8419
MEM 36.734375 1583036242.9452
